start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,user_language,q2_4,q3_4,q4,q4_4_text,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q8_1,q9_1,q9_2,q9_3,q9_4,q10
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,User Language,"On average, how many days do you work per week? - Days","On average, how many hours do you work per week? - Hours",Which of the following best describes your work format: - Selected Choice,Which of the following best describes your work format: - Other: - Text,Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I often look forward to starting my workday.,Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I am focused and productive during the workday.,"Consider the following statements for a typical workday and rate your agreement/disagreement with each. - When I am working, I daydream about being somewhere else.","Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I feel that I have enough time for my other responsibilities during the work week (e.g., exercise, cooking, appointments, etc.).",Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I have time for personal hobbies/passions outside of work.,"Consider the following statements for a typical workday and rate your agreement/disagreement with each. - By the end of the work week, I am exhausted.",Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I feel that the amount I am paid is a fair exchange for the time and effort I dedicate to my job.,Consider the following statements for a typical workday and rate your agreement/disagreement with each. - A shorter work week would benefit me.,"For the question below, please rate your answer on a scale of 0-100 where 0 is ""extremely unsatisfied"" and 100 is ""extremely satisfied"". - How satisfied are you with your current work-life balance?","Consider the following work week options. Rank these in order of your most preferred (#1) to least preferred (#4). - My current work week set up, with no change in pay.","Consider the following work week options. Rank these in order of your most preferred (#1) to least preferred (#4). - A shorter work week with more hours per day, with no change in pay.","Consider the following work week options. Rank these in order of your most preferred (#1) to least preferred (#4). - A shorter work week with the same hours per day, with no change in pay.","Consider the following work week options. Rank these in order of your most preferred (#1) to least preferred (#4). - A shorter work week with the same hours per day, with a reduction in pay.",Refer to Q9. Describe why you chose your #1 preferred option. Discuss any other comments/feelings you have about your work-life balance that you'd like to share.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID10_TEXT""}"
2025-06-22 20:53:57,2025-06-22 20:54:46,1,100,48,1,2025-06-22 20:54:46,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,1,NA,NA
2025-06-25 14:51:05,2025-06-25 14:53:57,0,100,172,1,2025-06-25 14:53:57,EN,NA,NA,4,No Job :(,3,3,4,5,5,3,1,NA,80,3,2,1,NA,NA
2025-06-25 14:52:08,2025-06-25 14:54:51,0,100,163,1,2025-06-25 14:54:52,EN,NA,NA,3,NA,4,4,3,4,4,2,5,NA,100,2,3,1,NA,NA
2025-06-22 20:56:03,2025-06-25 15:37:50,0,100,240107,1,2025-06-25 15:37:51,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-06-29 11:10:16,2025-06-29 11:11:26,0,100,69,1,2025-06-29 11:11:26,EN,5,40,1,NA,3,4,2,4,3,4,2,5,40,3,4,1,2,"It would help me meet my family's needs, and I am underpaid anyway for what I do, I think."
2025-06-29 11:10:08,2025-06-29 11:11:33,0,100,84,1,2025-06-29 11:11:33,EN,6,40,2,NA,4,4,3,4,3,5,3,4,45,3,1,2,4,I prefer to work harder on days on just to be able to have a day off
2025-06-29 11:10:25,2025-06-29 11:11:47,0,100,82,1,2025-06-29 11:11:47,EN,5,40,1,NA,2,4,4,3,4,5,4,5,70,3,2,1,4,Obviously I would like to work less for the same amount of money!
2025-06-29 11:10:17,2025-06-29 11:11:52,0,100,94,1,2025-06-29 11:11:52,EN,5,25,2,NA,4,NA,2,4,NA,1,4,3,86,3,2,1,4,i think most of my job can be done in a shorter time more than efficiently
2025-06-29 11:10:25,2025-06-29 11:11:54,0,100,88,1,2025-06-29 11:11:54,EN,5,40,3,NA,3,4,2,4,3,2,3,4,65,2,1,3,4,I feel I earn enough to be able to accommodate a shorter week
2025-06-29 11:10:45,2025-06-29 11:11:56,0,100,71,1,2025-06-29 11:11:56,EN,7,10,2,NA,3,3,3,4,4,3,2,2,58,1,2,3,4,i want more work
2025-06-29 11:10:37,2025-06-29 11:11:59,0,100,82,1,2025-06-29 11:12:00,EN,5,40,3,NA,2,4,4,2,2,4,3,5,20,2,3,1,4,Who wouldn't want to work less????
2025-06-29 11:10:27,2025-06-29 11:12:10,0,100,102,1,2025-06-29 11:12:11,EN,3,24,3,NA,4,5,1,4,NA,1,3,3,100,2,3,1,4,Happy with that
2025-06-29 11:10:22,2025-06-29 11:12:15,0,100,112,1,2025-06-29 11:12:15,EN,5,36,1,NA,2,4,4,4,3,4,3,5,25,3,4,1,2,Because it'd actually feel like a weekend so have a shorter work week.
2025-06-29 11:10:08,2025-06-29 11:12:25,0,100,136,1,2025-06-29 11:12:25,EN,5,40,3,NA,4,4,3,4,4,4,2,5,80,4,2,1,3,"I chose that option (A shorter work week with the same hours per day, with no change in pay), because I could basically work less for the same money. All other options required a compromise (either more work or less pay)."
2025-06-29 11:10:57,2025-06-29 11:12:35,0,100,98,1,2025-06-29 11:12:36,EN,5,40,3,NA,2,3,4,3,2,4,2,4,49,4,2,1,3,This would let me prioritise tasks because but not impact my finances - at least if I had four days I could be more relaxed in my planning
2025-06-29 11:10:24,2025-06-29 11:12:36,0,100,131,1,2025-06-29 11:12:36,EN,5,40,1,NA,2,3,4,2,2,4,2,4,35,3,2,1,4,I would like to have to work less than 5 days per week and have more time at home with my family.
2025-06-29 11:10:41,2025-06-29 11:12:36,0,100,114,1,2025-06-29 11:12:36,EN,5,38,3,NA,4,4,2,5,5,1,4,3,91,1,2,3,4,I want the same pay
2025-06-29 11:10:32,2025-06-29 11:12:37,0,100,124,1,2025-06-29 11:12:37,EN,5,40,1,NA,4,5,2,2,2,5,5,4,50,3,1,2,4,Not enough hours in the day to get everything done
2025-06-29 11:10:09,2025-06-29 11:12:41,0,100,152,1,2025-06-29 11:12:42,EN,2,20,1,NA,1,4,3,4,4,4,4,4,80,4,1,2,3,i would rather condense the time even further to save on travel
2025-06-29 11:10:20,2025-06-29 11:12:52,0,100,151,1,2025-06-29 11:12:52,EN,7,50,2,NA,5,4,1,2,1,2,1,1,20,1,2,3,4,I chose option 1 because I'm a freelancer and it wouldn't benefit me if I work less hours. That's because I get paid by hour.
2025-06-29 11:10:28,2025-06-29 11:12:52,0,100,143,1,2025-06-29 11:12:52,EN,7,80,2,NA,1,3,5,4,4,5,1,5,40,1,2,3,4,"Unless I get a higher pay per hour, I wouldn't be able to work fewer hours if I want to make ends meet. But my job is comfortable in the sense that it is fully remote, and I get to choose my work schedule. So, even if it's not as high-pay as others, at least it gives me some freedom."
2025-06-29 11:10:18,2025-06-29 11:12:57,0,100,158,1,2025-06-29 11:12:58,EN,5,40,1,NA,4,5,4,4,5,4,4,5,60,1,2,3,4,"I can't afford a change in pay, especially not with a reduction"
2025-06-29 11:10:29,2025-06-29 11:12:59,0,100,149,1,2025-06-29 11:12:59,EN,5,46,1,NA,5,4,4,5,5,5,4,5,100,3,1,2,4,Because I don't want to work too much
2025-06-29 11:10:08,2025-06-29 11:13:07,0,100,179,1,2025-06-29 11:13:07,EN,5,40,1,NA,2,4,2,2,4,5,2,5,50,3,2,1,4,"Quality of life requires a reduction in work while maintaining remuneration.  I could easily reduce my hours as it stands, along with my salary...so that wouldn't be a positive change."
2025-06-29 11:10:21,2025-06-29 11:13:08,0,100,167,1,2025-06-29 11:13:08,EN,6,35,1,NA,4,4,2,4,3,5,4,4,62,1,2,3,4,No change needed.
2025-06-29 11:10:16,2025-06-29 11:13:11,0,100,175,1,2025-06-29 11:13:11,EN,5,40,3,NA,5,5,2,4,4,3,2,5,80,3,2,1,4,A shorter week could motivate me to have more hobbies and take advantage of my spare time.
2025-06-29 11:10:29,2025-06-29 11:13:11,0,100,162,1,2025-06-29 11:13:12,EN,5,40,2,NA,3,4,3,4,4,4,2,5,66,3,2,1,4,"In general I would prefer less work, but if I have the chance to work less days, but the same weekly hours I would prefer it."
2025-06-29 11:10:18,2025-06-29 11:13:18,0,100,179,1,2025-06-29 11:13:18,EN,5,40,1,NA,2,4,4,4,4,3,3,4,80,2,3,1,4,Working one less day for the same pay would obviously be the best option as it would leave me with more time for my hobbies and non-work related responsibilities.
2025-06-29 11:10:22,2025-06-29 11:13:22,0,100,180,1,2025-06-29 11:13:22,EN,5,66,3,NA,2,4,2,2,3,4,4,2,39,2,1,3,4,Working longer hours per day and have an extra day off is much more preferable with the added benefit off not having a pay cut.
2025-06-29 11:10:33,2025-06-29 11:13:22,0,100,169,1,2025-06-29 11:13:23,EN,5,50,2,NA,5,4,4,5,5,5,5,5,100,2,3,1,4,"I am all for working 4 days per week at least, 2 rest days are not enough.
"
2025-06-29 11:10:36,2025-06-29 11:13:28,0,100,172,1,2025-06-29 11:13:29,EN,5,37,3,NA,4,4,2,4,3,2,4,3,80,1,3,2,4,Option one works very well for me as i work from home on average three days a week wrapped around the weekends.
2025-06-29 11:10:41,2025-06-29 11:13:33,0,100,172,1,2025-06-29 11:13:34,EN,5,39,1,NA,4,4,4,4,4,4,4,4,100,1,2,3,4,I am happy with the amount of hours I work
2025-06-29 11:10:20,2025-06-29 11:13:36,0,100,195,1,2025-06-29 11:13:36,EN,5,45,3,NA,4,4,2,4,3,3,4,4,65,2,3,1,4,"I am capable of doing the same amount of work in less time. But as a professional, I am not ready to receive less."
2025-06-29 11:10:13,2025-06-29 11:13:36,0,100,202,1,2025-06-29 11:13:36,EN,5,40,1,NA,4,5,2,4,5,4,4,4,85,3,1,2,4,I would always be happy to work less for the same pay.
2025-06-29 11:10:28,2025-06-29 11:13:38,0,100,190,1,2025-06-29 11:13:38,EN,5,35,2,NA,2,3,3,4,3,4,1,5,70,3,2,1,4,I'm not paid enough for the amount of work I do. I'd rather work less hours in total for the same amount of pay which may better reflect my work value.
2025-06-29 11:10:23,2025-06-29 11:13:38,0,100,195,1,2025-06-29 11:13:38,EN,5,40,3,NA,5,5,2,5,5,3,5,3,80,3,2,1,4,i chose according to preference
2025-06-29 11:10:16,2025-06-29 11:13:42,0,100,205,1,2025-06-29 11:13:42,EN,5,40,3,NA,4,4,3,2,3,5,2,5,40,3,2,1,4,It is the most beneficial for me and it would make me more productive.
2025-06-29 11:10:33,2025-06-29 11:13:42,0,100,189,1,2025-06-29 11:13:42,EN,5,40,1,NA,4,4,3,3,3,4,3,4,50,4,1,3,2,A shorter week would mean that I would have more time for myself.
2025-06-29 11:10:44,2025-06-29 11:13:47,0,100,182,1,2025-06-29 11:13:47,EN,7,60,2,NA,4,5,1,2,2,3,4,4,50,2,3,1,4,I have to work less and get the same amount of money.
2025-06-29 11:10:32,2025-06-29 11:13:50,0,100,197,1,2025-06-29 11:13:50,EN,5,45,3,NA,4,5,2,4,4,3,4,3,80,1,3,2,4,my work week is currently good for my time managment
2025-06-29 11:10:22,2025-06-29 11:13:54,0,100,211,1,2025-06-29 11:13:54,EN,6,38,2,NA,2,4,4,4,4,5,1,4,41,3,2,1,4,"Less working days with the same number of hours per day would be ideal because it would give me more time to focus on other things in my life like family, leisure, and fitness routine."
2025-06-29 11:10:18,2025-06-29 11:13:56,0,100,217,1,2025-06-29 11:13:56,EN,5,40,1,NA,2,4,2,2,2,3,2,5,50,2,4,1,3,"Working 5 days a week, 8h a day leaves almost no time for personal life, hobby and chores. Additionally working so many hours is tiring and friday is the least productive day. If there was a 4days working week people would still be able to do the same amount of work, knowing they will have more time to regenerate."
2025-06-29 11:10:24,2025-06-29 11:13:58,0,100,214,1,2025-06-29 11:13:58,EN,5,57,3,NA,4,4,5,4,3,5,NA,4,40,2,3,1,4,NA
2025-06-29 11:10:14,2025-06-29 11:14:00,0,100,225,1,2025-06-29 11:14:00,EN,2,50,1,NA,4,4,2,4,4,4,2,3,70,1,2,3,4,I’m happy with the hours I work and the balance I can get from it.
2025-06-29 11:11:27,2025-06-29 11:14:02,0,100,155,1,2025-06-29 11:14:03,EN,5,40,3,NA,3,4,4,3,4,4,2,4,51,3,4,1,2,It would be more relaxed if I could work less hours while keeping the same pay.
2025-06-29 11:10:25,2025-06-29 11:14:13,0,100,227,1,2025-06-29 11:14:13,EN,5,40,3,NA,3,3,3,4,4,2,3,4,50,4,3,1,2,Because getting the same amount of pay for a shorter week and the same hours is a real plus
2025-06-29 11:10:19,2025-06-29 11:14:14,0,100,235,1,2025-06-29 11:14:14,EN,6,20,3,NA,4,4,2,4,3,4,4,5,50,1,3,2,4,I feel comfortable with my work week set up
2025-06-29 11:10:44,2025-06-29 11:14:21,0,100,217,1,2025-06-29 11:14:22,EN,5,30,3,NA,4,4,2,4,4,4,3,3,70,1,3,2,4,I've found work/life balance with my current hybrid arrangement.
2025-06-29 11:10:12,2025-06-29 11:14:24,0,100,252,1,2025-06-29 11:14:24,EN,5,40,1,NA,3,4,3,4,NA,5,2,5,62,3,4,1,2,I CHOSE A SHORTER WORK WEEK WITH THE SAME HOURS PER DAY AND NO CHANGE IN PAY BECAUSE IT GIVES ME MORE PERSONAL TIME WITHOUT AFFECTING MY INCOME. IT FEELS LIKE A FAIR TRADE OFF THAT WOULD HELP ME RECHARGE AND ENJOY LIFE OUTSIDE WORK MORE FULLY
2025-06-29 11:10:21,2025-06-29 11:14:25,0,100,243,1,2025-06-29 11:14:25,EN,5,40,1,NA,3,4,4,4,3,3,3,2,60,1,3,2,4,"I'm happy without changes, I don't see much benefit in the others."
2025-06-29 11:10:09,2025-06-29 11:14:25,0,100,256,1,2025-06-29 11:14:26,EN,5,40,3,NA,1,4,5,5,5,5,1,5,66,3,1,2,4,theres no option to choose more pay
2025-06-29 11:10:39,2025-06-29 11:14:29,0,100,229,1,2025-06-29 11:14:29,EN,5,38,3,NA,2,4,2,2,2,1,4,5,25,4,1,3,2,I would be willing to work extra hours in a day to have an extra day off work per week.
2025-06-29 11:10:20,2025-06-29 11:14:29,0,100,249,1,2025-06-29 11:14:30,EN,5,43,3,NA,4,4,1,2,3,4,2,5,41,3,2,1,4,Less time and cost for travelling to work
2025-06-29 11:10:24,2025-06-29 11:14:30,0,100,246,1,2025-06-29 11:14:31,EN,4,20,1,NA,4,4,1,5,4,2,3,2,80,1,2,3,4,I have no real reason to differ from my current setup
2025-06-29 11:10:17,2025-06-29 11:14:33,0,100,255,1,2025-06-29 11:14:33,EN,5,49,1,NA,1,5,5,1,1,5,1,5,0,4,3,1,2,"It is best. Less work days, more time to spend with my family."
2025-06-29 11:10:31,2025-06-29 11:14:34,0,100,242,1,2025-06-29 11:14:34,EN,5,44,1,NA,5,5,4,4,4,5,4,4,76,1,4,3,2,work week set up should no change in pay because the workload remains the same
2025-06-29 11:10:43,2025-06-29 11:14:37,0,100,233,1,2025-06-29 11:14:37,EN,6,48,3,NA,5,5,3,5,5,5,5,5,92,1,2,3,4,I enjoy my current week setup so I chose it.
2025-06-29 11:10:37,2025-06-29 11:14:40,0,100,242,1,2025-06-29 11:14:40,EN,6,70,1,NA,5,5,1,5,5,4,5,4,99,1,4,2,3,I love everything about my working hours
2025-06-29 11:10:42,2025-06-29 11:14:45,0,100,242,1,2025-06-29 11:14:45,EN,7,35,3,NA,4,4,2,1,2,5,2,5,65,3,1,2,4,I'm willing to put in more hours per day to free up some other day because there's this momentum when I work and I don't wish to interrupt it and also I can save time on commuting.
2025-06-29 11:12:05,2025-06-29 11:14:49,0,100,164,1,2025-06-29 11:14:49,EN,6,46,1,NA,4,5,2,3,4,4,4,4,69,1,3,2,4,Because it works best for me
2025-06-29 11:10:45,2025-06-29 11:14:54,0,100,249,1,2025-06-29 11:14:55,EN,5,50,3,NA,4,5,4,4,4,3,4,4,70,1,3,2,4,I HAVE ENOUGH TIME TO SPEND ON MY FAMILY AND MYSELF
2025-06-29 11:10:28,2025-06-29 11:14:57,0,100,269,1,2025-06-29 11:14:58,EN,6,64,1,NA,3,4,2,1,1,3,1,5,20,3,2,1,4,"A shorter working week allows for more free time and better rest. On the other hand, reducing the salary at an abnormal salary level is not an option."
2025-06-29 11:10:13,2025-06-29 11:14:58,0,100,285,1,2025-06-29 11:14:59,EN,5,40,3,NA,3,4,1,4,4,4,3,5,75,2,3,1,4,I'd like to have more days to do things with my family and myself
2025-06-29 11:10:18,2025-06-29 11:15:05,0,100,286,1,2025-06-29 11:15:05,EN,5,30,2,NA,4,5,2,5,5,1,4,2,96,2,4,1,3,This would allow me to potentially pick up more hours elsewhere since I do freelance work and then I could increase my income.
2025-06-29 11:10:37,2025-06-29 11:15:06,0,100,269,1,2025-06-29 11:15:06,EN,5,41,3,NA,2,4,4,2,4,4,2,5,63,2,3,1,4,I can get an extra day to run my errands
2025-06-29 11:10:34,2025-06-29 11:15:08,0,100,273,1,2025-06-29 11:15:09,EN,5,50,3,NA,4,5,1,4,4,2,4,5,80,2,3,1,4,A shorter week will benefit me in terms of spending time with my children where I'll have more time to spend with them and I won't be so exhausted at the end of the week.
2025-06-29 11:10:23,2025-06-29 11:15:15,0,100,292,1,2025-06-29 11:15:16,EN,5,20,1,NA,1,4,5,4,4,5,3,4,50,2,3,1,4,A five day work week with only two days off is an outdated system. People should be able to spend more time on their hobbies and with their families.
2025-06-29 11:11:10,2025-06-29 11:15:20,0,100,250,1,2025-06-29 11:15:20,EN,2,40,3,NA,5,5,1,4,4,4,4,2,79,1,2,3,4,My job has no sudden change of arrangements
2025-06-29 11:11:31,2025-06-29 11:15:28,0,100,237,1,2025-06-29 11:15:29,EN,5,38,1,NA,4,5,3,4,5,4,5,5,76,4,1,2,3,A short work week with more hours per day with no change in pay would mean fewer work days hence better freedom than before
2025-06-29 11:10:39,2025-06-29 11:15:39,0,100,299,1,2025-06-29 11:15:39,EN,5,60,3,NA,5,5,1,5,5,3,5,2,100,1,3,2,4,"I am satisfied with my pay and how my week is set up so, a shorter week with reduction in pay will not work out for me"
2025-06-29 11:10:20,2025-06-29 11:15:42,0,100,322,1,2025-06-29 11:15:42,EN,5,35,3,NA,4,5,1,5,5,3,4,5,66,2,3,1,4,"because there's no change in pay, and shorter work weeks will better suit my lifestyle"
2025-06-29 11:11:02,2025-06-29 11:15:47,0,100,284,1,2025-06-29 11:15:48,EN,6,42,1,NA,4,4,2,4,4,4,4,5,65,2,3,1,4,"I would prefer to work for at most 5 days a week so I can spare at least two days a week for my hobbies and some family time, but at the same time I would not want a reduction in my salary."
2025-06-29 11:13:34,2025-06-29 11:16:33,0,100,178,1,2025-06-29 11:16:34,EN,4,41,3,NA,2,4,2,4,3,2,5,2,47,1,2,3,4,NA
2025-06-29 11:11:12,2025-06-29 11:16:36,0,100,324,1,2025-06-29 11:16:37,EN,5,40,3,NA,5,5,1,4,3,4,5,3,80,1,3,2,4,i am happy with the current work set up
2025-06-29 11:10:52,2025-06-29 11:16:56,0,100,364,1,2025-06-29 11:16:56,EN,5,38,1,NA,4,5,3,4,4,3,4,3,80,1,3,2,4,i get enough time to do other things so I am ok with just the way it is
2025-06-29 11:11:33,2025-06-29 11:17:32,0,100,359,1,2025-06-29 11:17:32,EN,5,50,1,NA,4,5,2,4,4,4,4,3,60,1,3,2,4,My current week set up is very okay to me. I have free time to go out for leisure and also interact with my family.
2025-06-29 11:10:40,2025-06-29 11:17:34,0,100,413,1,2025-06-29 11:17:34,EN,5,40,3,NA,5,5,2,2,2,4,5,5,70,2,3,1,4,"Having a shorter work week with the same hours would allow me to have a time for family, friends, and my hobbies."
2025-06-29 11:11:09,2025-06-29 11:17:54,0,100,405,1,2025-06-29 11:17:54,EN,5,42,3,NA,4,4,3,3,1,5,2,5,40,2,4,1,3,"If I get a shorter workweek I will be able to do other things that are also important in life, like helping out in my community and making sure that my family gets enough of my time. My work takes up most of my time and that is not good, I wish I could get a job that pays more with fewer hours."
2025-06-29 11:14:48,2025-06-29 11:18:03,0,100,195,1,2025-06-29 11:18:03,EN,5,42,1,NA,5,5,1,3,5,3,4,3,100,1,2,3,4,"My current work has a good pay for my working hours, I wouldn't want that to change ."
2025-06-29 11:12:45,2025-06-29 11:18:09,0,100,324,1,2025-06-29 11:18:09,EN,4,36,3,NA,5,5,2,4,4,3,5,3,80,2,3,1,4,"I would say that majorly, I feel satisfied with my work set-up and I would want to change anything concerning the working hours nor the number of days I come into office or work from home."
2025-06-29 11:11:03,2025-06-29 11:18:17,0,100,434,1,2025-06-29 11:18:17,EN,5,40,3,NA,5,5,2,4,4,4,4,4,83,1,3,2,4,I would prefer my current work week set up with no change in pay as am already used to the current schedule and the pay is quite proportional to my work schedule. With it am able to balance my work life
2025-06-29 11:10:30,2025-06-29 11:18:33,0,100,482,1,2025-06-29 11:18:33,EN,5,42,1,NA,5,5,1,5,5,1,5,1,100,1,2,3,4,because it is a good setup that im not willing to change
2025-06-29 11:11:14,2025-06-29 11:19:06,0,100,471,1,2025-06-29 11:19:06,EN,4,40,3,NA,5,5,2,3,4,4,4,4,60,1,2,3,4,NA
2025-06-29 11:12:23,2025-06-29 11:19:06,0,100,402,1,2025-06-29 11:19:06,EN,5,8,3,NA,4,5,2,4,4,5,4,4,60,1,3,2,4,I'm currently working 2days in office and 3 days remotely the time is shorter and payment is the same I think I'm ohk with the settings.
2025-06-29 11:13:07,2025-06-29 11:19:17,0,100,369,1,2025-06-29 11:19:17,EN,3,40,3,NA,4,4,1,3,4,4,4,3,70,1,3,2,4,I already have flexible working schedule so  would rather not channge anything as i also get to work from home.
2025-06-29 11:14:37,2025-06-29 11:19:19,0,100,282,1,2025-06-29 11:19:20,EN,5,25,1,NA,5,5,5,5,5,4,5,2,100,1,2,3,4,My work life balance is quite well because I can manage and balance my work and life.
2025-06-29 11:14:45,2025-06-29 11:20:34,0,100,348,1,2025-06-29 11:20:34,EN,5,40,2,NA,5,5,2,4,3,4,4,4,90,1,2,3,4,"Am currently happy with the set up and payment, I still have time for other things and it helps that I work remotely meaning I don't spend lot of time traveling and being stuck in traffic"
2025-06-29 11:15:34,2025-06-29 11:20:47,0,100,313,1,2025-06-29 11:20:47,EN,5,58,3,NA,5,5,1,2,2,4,4,5,79,3,1,2,4,i made my decision that way because that is how i currently feel about my work. i need some hour reduction to enable me take care of family and any other personal related issues.
2025-06-29 11:15:14,2025-06-29 11:21:18,0,100,364,1,2025-06-29 11:21:19,EN,5,40,3,NA,4,4,2,3,4,4,5,4,70,2,3,1,4,"I choose this option because if I'd be able to work one day less I could have more time to relax and meet friends, do my household, file taxes etc. 
I wouldn't want a reduction in pay and I also wouldn't want to work more hours per day. Spending 9 hours (8.5 working + 30 minutes break) in my office is already exhausting enough.

In general I think that we can work from home up to four days a week is benefitting the employees very much and I am glad for it even though I mostly only work from home once a week or twice."
2025-06-29 11:11:00,2025-06-29 11:22:18,0,100,678,1,2025-06-29 11:22:18,EN,5,40,1,NA,5,5,1,4,4,4,4,2,80,2,4,1,3,Considering this option so I’ll be able to make use of other time to persue the other businesses that I have been doing for quite some time but needs more time and dedication
2025-06-29 11:10:30,2025-06-29 11:22:22,0,100,711,1,2025-06-29 11:22:22,EN,5,55,1,NA,1,3,5,4,4,5,1,4,65,2,3,1,4,"A reduced workweek might be the dream of most workers, offering more time for rest or to do some other personal projects. However, it's a sensitive and complex issue to achieve. Personally, I would like to have a shorter workweek to take care of things I usually can’t do because the services I need are already closed by the time I'm free. But if those same services also adopt a reduced workweek, the main advantage would be lost."
2025-06-29 11:13:45,2025-06-29 11:23:17,0,100,571,1,2025-06-29 11:23:17,EN,5,40,1,NA,4,5,1,4,5,1,5,1,100,4,2,3,1,Because I prefer my current hours with pay i
2025-06-29 11:10:17,2025-06-29 11:23:26,0,100,788,1,2025-06-29 11:23:27,EN,5,60,1,NA,5,5,2,4,5,4,4,2,91,2,1,3,4,"This gives me more full days off to focus on my personal life and other commitments. It brings balance, hence improves my well-being."
2025-06-29 11:19:50,2025-06-29 11:24:14,0,100,264,1,2025-06-29 11:24:14,EN,6,46,1,NA,3,4,5,3,2,5,1,5,27,1,4,2,3,i dont want to work more work hours perday as it limits my time with family hence current setup is a bit friendly
2025-06-29 11:11:58,2025-06-29 11:24:35,0,100,756,1,2025-06-29 11:24:35,EN,6,40,1,NA,4,4,2,4,3,2,4,3,80,2,4,1,3,can provide more time for personal activities
2025-06-29 11:20:10,2025-06-29 11:25:21,0,100,311,1,2025-06-29 11:25:21,EN,5,29,3,NA,4,4,3,5,4,3,4,2,78,1,2,3,4,I am always eager to find any possibilities in new resolutions when it comes to my work.
2025-06-29 11:19:45,2025-06-29 11:25:40,0,100,355,1,2025-06-29 11:25:40,EN,5,45,1,NA,4,4,2,4,4,3,4,5,80,1,2,3,4,because  i still need my pay in full
2025-06-29 11:23:45,2025-06-29 11:27:28,0,100,222,1,2025-06-29 11:27:28,EN,5,40,1,NA,5,5,1,4,4,1,5,2,100,1,3,4,2,Because i prefer  my current week set up with same salary because im happy with the things the way they are
2025-06-29 11:21:07,2025-06-29 11:29:38,0,100,511,1,2025-06-29 11:29:39,EN,6,40,1,NA,4,5,1,2,3,4,4,4,80,3,1,2,4,I have a passion for helping the sick and I feel the current work hours I have are enough for me to help a number of patients
2025-06-29 11:10:39,2025-06-29 11:30:39,0,100,1200,1,2025-06-29 11:30:40,EN,5,40,3,NA,4,4,2,4,4,3,4,4,78,2,1,3,4,I would like to start work earlier and finish earlier it would fit in better with my and my family needs.
2025-06-29 11:31:35,2025-06-29 11:34:56,0,100,201,1,2025-06-29 11:34:57,EN,5,38,1,NA,4,4,3,4,4,3,2,4,75,3,2,1,4,gives me more time to do things
2025-06-29 11:33:21,2025-06-29 11:35:30,0,100,128,1,2025-06-29 11:35:30,EN,1,43,3,NA,5,5,5,4,4,5,5,4,78,NA,NA,NA,NA,NA
2025-06-29 11:31:04,2025-06-29 11:36:43,0,100,338,1,2025-06-29 11:36:43,EN,5,35,3,NA,4,5,1,4,4,2,5,1,80,1,3,2,4,"I have a balanced work life.  I don't feel like I give in alot of hours or less but just right. I have passion for the kind of work I do , I'm satisfied with the hours I have currently"
2025-06-29 11:34:06,2025-06-29 11:37:29,0,100,202,1,2025-06-29 11:37:29,EN,7,40,1,NA,5,5,1,5,5,4,5,1,100,1,4,2,3,I am satisfied with my current work days and working hours including the pay.
2025-06-29 11:32:10,2025-06-29 11:40:09,0,100,479,1,2025-06-29 11:40:10,EN,5,53,1,NA,5,5,3,5,5,3,5,4,100,4,3,1,2,"I love my job , I can work more hours without a problem .it helps me to forget about a lot of things"
2025-06-29 13:56:09,2025-06-29 13:57:04,0,100,55,1,2025-06-29 13:57:04,EN,5,40,1,NA,2,1,4,4,3,5,5,2,70,4,2,1,3,NA
